cCRE File,Biosample Slim,Biosample type,Organ,Biosample summary + donor,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig,Experiment,BigWig
ENCFF296DEO_ENCFF521JLW_ENCFF247PMT.bed.gz,SK-N-MC,cell line,brain; epithelium,Homo_sapiens_SK-N-MC_ENCDO000ABC,ENCSR000EPY,ENCFF296DEO,ENCSR000DXL,ENCFF521JLW,ENCSR835MMN,ENCFF247PMT,---,---
ENCFF713HCD_ENCFF630TBW_ENCFF812BUV.bed.gz,astrocyte of the cerebellum,primary cell,brain,Homo_sapiens_astrocyte_of_the_cerebellum_ENCDO227AAA,ENCSR000ENC,ENCFF713HCD,ENCSR000DSY,ENCFF630TBW,---,---,ENCSR000DSZ,ENCFF812BUV
ENCFF666AUK_ENCFF644HJX_ENCFF388NXU.bed.gz,RWPE1,cell line,epithelium; prostate gland,Homo_sapiens_RWPE1_ENCDO000ADM,ENCSR000ELP,ENCFF666AUK,---,---,ENCSR203KEU,ENCFF644HJX,ENCSR303GFI,ENCFF388NXU
ENCFF194NJI_ENCFF728IVS_ENCFF599XVV.bed.gz,HeLa-S3,cell line,epithelium; uterus,Homo_sapiens_HeLa-S3_G1b_phase_ENCDO000AAB,ENCSR000ENO,ENCFF194NJI,ENCSR000DUA,ENCFF728IVS,---,---,ENCSR000DUB,ENCFF599XVV
ENCFF506KKF_ENCFF795QXM.bed.gz,GM20000,cell line,blood; bodily fluid,Homo_sapiens_GM20000_ENCDO000ACO,ENCSR000EJM,ENCFF506KKF,---,---,---,---,ENCSR000DLG,ENCFF795QXM
ENCFF136RNO_ENCFF630BQS_ENCFF611XLA_ENCFF975BGM.bed.gz,OCI-LY7,cell line,blood; bodily fluid,Homo_sapiens_OCI-LY7_ENCDO351AAA,ENCSR489NAM,ENCFF136RNO,ENCSR005SXO,ENCFF630BQS,ENCSR447ZGY,ENCFF611XLA,ENCSR027HML,ENCFF975BGM
ENCFF858YJD_ENCFF684KJG_ENCFF387GYF.bed.gz,astrocyte of the spinal cord,primary cell,spinal cord,Homo_sapiens_astrocyte_of_the_spinal_cord_ENCDO224AAA,ENCSR000ENB,ENCFF858YJD,ENCSR000DSW,ENCFF684KJG,---,---,ENCSR000DSU,ENCFF387GYF
ENCFF494IGD_ENCFF719EBT_ENCFF443TJZ_ENCFF638DZB.bed.gz,keratinocyte,primary cell,epithelium; skin of body,Homo_sapiens_keratinocyte_female_ENCDO268AAA,ENCSR000EPQ,ENCFF494IGD,ENCSR000DWV,ENCFF719EBT,ENCSR000ALK,ENCFF443TJZ,ENCSR000ALJ,ENCFF638DZB
ENCFF238IRI_ENCFF228XER_ENCFF740SMV.bed.gz,NB4,cell line,bone element; bone marrow,Homo_sapiens_NB4_ENCDO000ADG,ENCSR000EPL,ENCFF238IRI,ENCSR000DWP,ENCFF228XER,---,---,ENCSR000DWN,ENCFF740SMV
ENCFF926MIK_ENCFF153BJG_ENCFF751GCN_ENCFF569HGW.bed.gz,astrocyte,in vitro differentiated cells,brain; spinal cord,Homo_sapiens_astrocyte_ENCDO336AAA,ENCSR146KFX,ENCFF926MIK,ENCSR020LAQ,ENCFF153BJG,ENCSR510CNG,ENCFF751GCN,ENCSR461VHZ,ENCFF569HGW
ENCFF414OGC_ENCFF806YEZ_ENCFF849TDM_ENCFF736UDR.bed.gz,K562,cell line,blood; bodily fluid,Homo_sapiens_K562_ENCDO000AAD,ENCSR000EOT,ENCFF414OGC,ENCSR000EWA,ENCFF806YEZ,ENCSR000AKP,ENCFF849TDM,ENCSR000BPJ,ENCFF736UDR
ENCFF034LUU_ENCFF775HGO.bed.gz,GM10248,cell line,blood; bodily fluid,Homo_sapiens_GM10248_ENCDO000ABI,ENCSR000EJB,ENCFF034LUU,---,---,---,---,ENCSR000DKP,ENCFF775HGO
ENCFF592CNZ_ENCFF346DEM_ENCFF192FOK.bed.gz,neural crest cell,in vitro differentiated cells,embryo,Homo_sapiens_neural_crest_cell_ENCDO222AAA,ENCSR826URD,ENCFF592CNZ,ENCSR133QMT,---,ENCSR685HSP,ENCFF346DEM,ENCSR218MVT,ENCFF192FOK
ENCFF168WLU_ENCFF053DKP_ENCFF666CXN.bed.gz,fibroblast of villous mesenchyme,primary cell,connective tissue; extraembryonic component; placenta,Homo_sapiens_fibroblast_of_villous_mesenchyme_ENCDO253AAA,ENCSR000EOR,ENCFF168WLU,ENCSR000DVS,ENCFF053DKP,---,---,ENCSR000DVQ,ENCFF666CXN
ENCFF336OBG_ENCFF930UCG.bed.gz,H54,cell line,brain,Homo_sapiens_H54_ENCDO000ACT,ENCSR000EJA,ENCFF336OBG,---,---,---,---,ENCSR000DKN,ENCFF930UCG
ENCFF226FAT_ENCFF582GHH_ENCFF441MGU_ENCFF897TLT.bed.gz,osteocyte,in vitro differentiated cells,bone element; connective tissue,Homo_sapiens_osteocyte_ENCDO222AAA,ENCSR818HHN,ENCFF226FAT,ENCSR664DNR,ENCFF582GHH,ENCSR479IAH,ENCFF441MGU,ENCSR300DWM,ENCFF897TLT
ENCFF339ZGM_ENCFF695YII_ENCFF383GZA_ENCFF244CXJ.bed.gz,HL-60,cell line,blood; bodily fluid,Homo_sapiens_HL-60_ENCDO000AAM,ENCSR889WKL,ENCFF339ZGM,ENCSR000DUO,ENCFF695YII,ENCSR919WLM,ENCFF383GZA,ENCSR000DUP,ENCFF244CXJ
ENCFF291DQP_ENCFF879CSG_ENCFF949IKU_ENCFF181ESK.bed.gz,WERI-Rb-1,cell line,eye,Homo_sapiens_WERI-Rb-1_ENCDO000ADT,ENCSR218FSP,ENCFF291DQP,ENCSR000DXU,ENCFF879CSG,ENCSR764HZU,ENCFF949IKU,ENCSR000DXW,ENCFF181ESK
ENCFF978IHV_ENCFF221TSA_ENCFF619JXN_ENCFF227NGR.bed.gz,Caco-2,cell line,colon; intestine; large intestine,Homo_sapiens_Caco-2_ENCDO000ACR,ENCSR030HFV,ENCFF978IHV,ENCSR995MHN,ENCFF221TSA,ENCSR571QQB,ENCFF619JXN,ENCSR000DQN,ENCFF227NGR
ENCFF418OBI_ENCFF103MXT_ENCFF185GGC.bed.gz,osteoblast,primary cell,connective tissue,Homo_sapiens_osteoblast_ENCDO271AAA,ENCSR000ELJ,ENCFF418OBI,---,---,ENCSR000APH,ENCFF103MXT,ENCSR000APF,ENCFF185GGC
ENCFF701NPD_ENCFF303ECD.bed.gz,NT2/D1,cell line,epithelium; gonad; testis,Homo_sapiens_NT2/D1_ENCDO000ADH,ENCSR000EPS,ENCFF701NPD,ENCSR000EXD,ENCFF303ECD,---,---,---,---
ENCFF270ENA_ENCFF935BFQ_ENCFF063VLJ_ENCFF662LGI.bed.gz,MCF-7,cell line,epithelium; exocrine gland; mammary gland,Homo_sapiens_MCF-7_ENCDO000AAE,ENCSR000EKV,ENCFF270ENA,ENCSR000DWJ,ENCFF935BFQ,ENCSR752UOD,ENCFF063VLJ,ENCSR000DWH,ENCFF662LGI
ENCFF389PZY_ENCFF587XGD_ENCFF184NWF_ENCFF496PSJ.bed.gz,CD14-positive monocyte,primary cell,blood; bodily fluid,Homo_sapiens_CD14-positive_monocyte_female_ENCDO265AAA,ENCSR000EPK,ENCFF389PZY,ENCSR000ASN,ENCFF587XGD,ENCSR000ASJ,ENCFF184NWF,ENCSR000ATN,ENCFF496PSJ
ENCFF909KVS_ENCFF300WXD_ENCFF504UNY_ENCFF976GAM.bed.gz,endodermal cell,in vitro differentiated cells,embryo,Homo_sapiens_endodermal_cell_ENCDO222AAA,ENCSR166KPV,ENCFF909KVS,ENCSR788UDH,ENCFF300WXD,ENCSR193VOB,ENCFF504UNY,ENCSR398RET,ENCFF976GAM
ENCFF623TJB_ENCFF465MDM_ENCFF907RYE_ENCFF936QRH.bed.gz,PC-9,cell line,lung,Homo_sapiens_PC-9_ENCDO647UHQ,ENCSR940NLN,ENCFF623TJB,ENCSR441JWF,ENCFF465MDM,ENCSR769FOC,ENCFF907RYE,ENCSR243INX,ENCFF936QRH
ENCFF816IIS_ENCFF958CFK_ENCFF213BSP_ENCFF070LLG.bed.gz,A673,cell line,musculature of body,Homo_sapiens_A673_ENCDO027VXA,ENCSR346JWH,ENCFF816IIS,ENCSR435FGK,ENCFF958CFK,ENCSR714TJD,ENCFF213BSP,ENCSR611JJS,ENCFF070LLG
ENCFF648XPS_ENCFF207MNM_ENCFF485DKZ_ENCFF466BIT.bed.gz,cardiac muscle cell,in vitro differentiated cells,heart; musculature of body,Homo_sapiens_cardiac_muscle_cell_originated_from_RUES2_ENCDO924HBJ,ENCSR842KCP,ENCFF648XPS,ENCSR652QNW,ENCFF207MNM,ENCSR000NPF,ENCFF485DKZ,ENCSR713SXF,ENCFF466BIT
ENCFF286QGB_ENCFF835JIA_ENCFF618RAO_ENCFF700SCP.bed.gz,neural progenitor cell,in vitro differentiated cells,,Homo_sapiens_neural_progenitor_cell_originated_from_H9_ENCDO222AAA,ENCSR963ALV,ENCFF286QGB,ENCSR661MUS,ENCFF835JIA,ENCSR449AXO,ENCFF618RAO,ENCSR125NBL,ENCFF700SCP
ENCFF903ZCB_ENCFF179HBV_ENCFF988WEQ_ENCFF963CHU.bed.gz,H9,cell line,embryo,Homo_sapiens_H9_ENCDO222AAA,ENCSR662RIZ,ENCFF903ZCB,ENCSR756IGI,ENCFF179HBV,ENCSR372FFA,ENCFF988WEQ,ENCSR871MKQ,ENCFF963CHU
