Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	13662	GATA	GATA3_GATA_1	0.277349	GATA3_GATA_2	0.277349	GATA3_MA0037.3	0.277349	GATA4_GATA_1	0.277349	GATA5_GATA_1	0.277349	GATA5_MA0766.1	0.277349	GATA4_HUMAN.H11MO.0.A	0.277349	GATA4_MOUSE.H11MO.0.A	0.277349	GATA6_MOUSE.H11MO.0.A	0.277349	GATA2_MOUSE.H11MO.0.A	0.277349
metacluster_0.pattern_1	12794	CTCF	CTCF_MA0139.1	3.97337E-17	CTCF_HUMAN.H11MO.0.A	2.39464E-13	CTCF_MOUSE.H11MO.0.A	1.19621E-12	CTCFL_HUMAN.H11MO.0.A	7.55958E-08	CTCFL_MOUSE.H11MO.0.A	2.29916E-07	CTCF_C2H2_1	2.59443E-06	CTCFL_MA1102.1	7.82561E-06	ZIC2_MOUSE.H11MO.0.C	0.161491	ZIC3_HUMAN.H11MO.0.B	0.161491	ZIC3_MOUSE.H11MO.0.A	0.161491
metacluster_0.pattern_2	10238	SP1/KLF	KLF3_HUMAN.H11MO.0.B	3.34487E-05	KLF3_MOUSE.H11MO.0.A	3.34487E-05	KLF12_HUMAN.H11MO.0.C	4.74028E-05	SP1_HUMAN.H11MO.0.A	6.06559E-05	SP1_MA0079.3	6.06559E-05	SP3_HUMAN.H11MO.0.B	0.000173302	SP3_MOUSE.H11MO.0.B	0.000173302	SP1_MOUSE.H11MO.0.A	0.000202186	KLF5_MA0599.1	0.000227138	SP4_HUMAN.H11MO.0.A	0.000339849
metacluster_0.pattern_3	4959	BACH	BACH2_HUMAN.H11MO.0.A	7.6794E-06	BACH2_MOUSE.H11MO.0.A	7.86722E-06	BACH2_MA1101.1	1.3112E-05	BACH1_HUMAN.H11MO.0.A	1.47917E-05	Bach1+Mafk_MA0591.1	1.77501E-05	NF2L2_MOUSE.H11MO.0.A	2.15043E-05	MAF+NFE2_MA0501.1	2.15043E-05	NFE2_HUMAN.H11MO.0.A	2.15043E-05	NF2L2_HUMAN.H11MO.0.A	2.15043E-05	NFE2_MOUSE.H11MO.0.A	2.15043E-05
metacluster_0.pattern_4	3596	ELK	ELK1_ETS_1	0.000147188	ELK4_MA0076.2	0.000147188	EHF_ETS_1	0.000147188	EHF_MA0598.2	0.000147188	ELF1_ETS_1	0.000147188	ELF1_MA0473.2	0.000147188	ELK4_HUMAN.H11MO.0.A	0.000147188	GABPA_MOUSE.H11MO.0.A	0.00017172	ELK1_ETS_2	0.00029181	ELK1_ETS_4	0.00029181
metacluster_0.pattern_5	2426	NFYB	NFYB_HUMAN.H11MO.0.A	0.000832891	NFYB_MOUSE.H11MO.0.A	0.000832891	NFYA_HUMAN.H11MO.0.A	0.00236322	NFYA_MOUSE.H11MO.0.A	0.00236322	NFYC_HUMAN.H11MO.0.A	0.00236322	NFYC_MOUSE.H11MO.0.B	0.00817282	NFYB_MA0502.1	0.00817282	NFYA_MA0060.3	0.0293078	Dux_MA0611.1	0.0293078	FOXI1_HUMAN.H11MO.0.B	0.0320366
metacluster_0.pattern_6	2134	ETV4	ETV4_MOUSE.H11MO.0.B	0.00223874	ELF5_HUMAN.H11MO.0.A	0.00271623	EHF_HUMAN.H11MO.0.B	0.00271623	EHF_MOUSE.H11MO.0.B	0.00271623	ERG_HUMAN.H11MO.0.A	0.00277722	ELF3_HUMAN.H11MO.0.A	0.00277722	ELF3_MOUSE.H11MO.0.B	0.00277722	ELF2_MOUSE.H11MO.0.C	0.00339254	ETS1_HUMAN.H11MO.0.A	0.0065936	ETV5_HUMAN.H11MO.0.C	0.00861653
metacluster_0.pattern_7	1457	CEBPG	CEBPG_HUMAN.H11MO.0.B	0.000174965	CEBPG_MOUSE.H11MO.0.B	0.000174965	ATF4_HUMAN.H11MO.0.A	0.000522796	ATF4_MOUSE.H11MO.0.A	0.000522796	DDIT3_MOUSE.H11MO.0.C	0.00605699	Atf4.mouse_bZIP_1	0.015211	ATF4_MA0833.1	0.0281586	ATF4_bZIP_1	0.0281586	NFIL3_MOUSE.H11MO.0.C	0.503092	HLF_MOUSE.H11MO.0.C	0.570115
metacluster_0.pattern_8	1312	BACH.1	NF2L2_MOUSE.H11MO.0.A	3.0871E-05	BACH2_HUMAN.H11MO.0.A	3.0871E-05	BACH2_MOUSE.H11MO.0.A	3.0871E-05	MAF+NFE2_MA0501.1	4.63066E-05	Nfe2l2_MA0150.2	4.63066E-05	NFE2_HUMAN.H11MO.0.A	4.63066E-05	NF2L2_HUMAN.H11MO.0.A	4.63066E-05	NFE2_MOUSE.H11MO.0.A	4.63066E-05	Bach1+Mafk_MA0591.1	0.000103258	BACH1_MOUSE.H11MO.0.C	0.000103258
metacluster_0.pattern_9	1261	GC	NRF1_MA0506.1	0.217063	NRF1_MOUSE.H11MO.0.A	0.249476	ZBTB6_HUMAN.H11MO.0.C	0.271341	NRF1_HUMAN.H11MO.0.A	0.271341	SP2_HUMAN.H11MO.0.A	0.271341	SP2_MOUSE.H11MO.0.B	0.271341	USF2_HUMAN.H11MO.0.A	0.503567	USF2_MOUSE.H11MO.0.A	0.503567	NRF1_NRF_1	0.503567	KLF1_HUMAN.H11MO.0.A	0.503567
