Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	16337	GATA	GATA3_GATA_1	0.318533	GATA3_GATA_2	0.318533	GATA3_MA0037.3	0.318533	GATA4_GATA_1	0.318533	GATA5_GATA_1	0.318533	GATA5_MA0766.1	0.318533	GATA4_HUMAN.H11MO.0.A	0.318533	GATA4_MOUSE.H11MO.0.A	0.318533	GATA6_MOUSE.H11MO.0.A	0.318533	GATA3_HUMAN.H11MO.0.A	0.318533
metacluster_0.pattern_1	14887	CTCF.1	CTCF_MA0139.1	1.33417E-17	CTCF_HUMAN.H11MO.0.A	4.03284E-14	CTCF_MOUSE.H11MO.0.A	8.70269E-12	CTCFL_HUMAN.H11MO.0.A	1.31514E-07	CTCFL_MOUSE.H11MO.0.A	3.0523E-07	CTCF_C2H2_1	1.02024E-06	CTCFL_MA1102.1	9.19966E-06	ZIC2_MOUSE.H11MO.0.C	0.156022	ZIC3_HUMAN.H11MO.0.B	0.156022	ZIC3_MOUSE.H11MO.0.A	0.156022
metacluster_0.pattern_2	9266	SP1/KLF	KLF12_HUMAN.H11MO.0.C	5.71027E-05	KLF3_HUMAN.H11MO.0.B	6.66198E-05	KLF3_MOUSE.H11MO.0.A	6.66198E-05	SP1_HUMAN.H11MO.0.A	6.66198E-05	SP3_HUMAN.H11MO.0.B	0.000123994	SP3_MOUSE.H11MO.0.B	0.000123994	SP1_MA0079.3	0.000314019	SP1_MOUSE.H11MO.0.A	0.000519176	KLF5_MA0599.1	0.000617003	SP4_HUMAN.H11MO.0.A	0.00078565
metacluster_0.pattern_3	8735	BACH	BACH2_MOUSE.H11MO.0.A	0.000477969	BACH2_MA1101.1	0.000477969	BACH2_HUMAN.H11MO.0.A	0.000477969	NFE2_HUMAN.H11MO.0.A	0.000477969	NF2L2_HUMAN.H11MO.0.A	0.000477969	NFE2_MOUSE.H11MO.0.A	0.000477969	Bach1+Mafk_MA0591.1	0.000477969	MAF+NFE2_MA0501.1	0.000477969	BACH1_HUMAN.H11MO.0.A	0.000571461	Nfe2l2_MA0150.2	0.000571461
metacluster_0.pattern_4	2780	ELK	Gabpa_MA0062.2	8.22283E-06	ELK4_HUMAN.H11MO.0.A	8.22283E-06	ELK1_ETS_1	2.78965E-05	ELK4_MA0076.2	2.78965E-05	ELK1_HUMAN.H11MO.0.B	2.78965E-05	ELK1_MOUSE.H11MO.0.B	2.78965E-05	ZBTB7A_MA0750.2	3.5867E-05	GABPA_MOUSE.H11MO.0.A	3.66142E-05	ETV1_HUMAN.H11MO.0.A	8.46303E-05	ELF1_MOUSE.H11MO.0.A	8.64449E-05
metacluster_0.pattern_5	2695	NFIA	NFIA_HUMAN.H11MO.0.C	2.05222E-06	NFIA_MOUSE.H11MO.0.C	2.05222E-06	NFIA_NFI_1	3.02687E-06	NFIC+TLX1_MA0119.1	4.94398E-06	NFIC_HUMAN.H11MO.0.A	5.64665E-06	NFIX_NFI_1	2.66778E-05	NFIB_NFI_1	2.70108E-05	NFIB_MOUSE.H11MO.0.C	0.0219486	NFIX_MA0671.1	0.0617647	NFIX_NFI_2	0.0617647
metacluster_0.pattern_6	1786	NFYB	NFYB_HUMAN.H11MO.0.A	0.00930752	NFYB_MOUSE.H11MO.0.A	0.00930752	NFYA_HUMAN.H11MO.0.A	0.00930752	NFYA_MOUSE.H11MO.0.A	0.00930752	NFYC_HUMAN.H11MO.0.A	0.00930752	NFYC_MOUSE.H11MO.0.B	0.0127521	NFYB_MA0502.1	0.0182738	NFYA_MA0060.3	0.0314643	Dux_MA0611.1	0.0314643	FOXI1_HUMAN.H11MO.0.B	0.0367699
metacluster_0.pattern_7	1456	NRF1	NRF1_MOUSE.H11MO.0.A	1.7363E-06	NRF1_HUMAN.H11MO.0.A	1.7363E-06	NRF1_NRF_1	1.72886E-05	NRF1_MA0506.1	0.000169273	ZEB1_MA0103.3	1.0										
metacluster_0.pattern_8	1089	FOSL1+JUN	FOSL1+JUN_MA1129.1	5.69947E-06	FOSL2+JUN_MA1131.1	4.94882E-05	FOSB+JUNB_MA1136.1	5.73608E-05	CREB1_HUMAN.H11MO.0.A	5.73608E-05	CREB1_MOUSE.H11MO.0.A	5.73608E-05	FOSB+JUN_MA1127.1	5.73608E-05	Creb5.mouse_bZIP_1	5.73608E-05	Creb5_MA0840.1	5.73608E-05	FOSL2+JUNB_MA1139.1	5.73608E-05	JUN+JUNB_MA1133.1	5.73608E-05
metacluster_0.pattern_9	847	STA5A	STA5A_MOUSE.H11MO.0.A	0.00382061	BCL6_HUMAN.H11MO.0.A	0.00382061	BCL6_MOUSE.H11MO.0.A	0.00382061	STA5A_HUMAN.H11MO.0.A	0.00426726	Bcl6_MA0463.1	0.00426726	STAT3_HUMAN.H11MO.0.A	0.00780555	STAT4_MOUSE.H11MO.0.A	0.00780555	STAT4_HUMAN.H11MO.0.A	0.00780555	STAT1_MA0137.3	0.00780555	Stat5a+Stat5b_MA0519.1	0.00780555
