Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	11500	GATA	GATA3_GATA_1	0.354349	GATA3_GATA_2	0.354349	GATA3_MA0037.3	0.354349	GATA4_GATA_1	0.354349	GATA5_GATA_1	0.354349	GATA5_MA0766.1	0.354349	GATA4_HUMAN.H11MO.0.A	0.354349	GATA4_MOUSE.H11MO.0.A	0.354349	GATA6_MOUSE.H11MO.0.A	0.354349	GATA2_MA0036.3	0.354349
metacluster_0.pattern_1	11363	CTCF	CTCF_MA0139.1	1.28258E-17	CTCF_HUMAN.H11MO.0.A	5.34825E-13	CTCF_MOUSE.H11MO.0.A	4.9384E-11	CTCFL_HUMAN.H11MO.0.A	1.90764E-07	CTCFL_MOUSE.H11MO.0.A	4.2351E-07	CTCF_C2H2_1	1.07974E-06	CTCFL_MA1102.1	9.24117E-06	ZIC2_MOUSE.H11MO.0.C	0.158752	ZIC3_HUMAN.H11MO.0.B	0.158752	ZIC3_MOUSE.H11MO.0.A	0.158752
metacluster_0.pattern_2	9767	SP1/KLF	SP1_MA0079.3	4.13099E-05	KLF5_MA0599.1	4.13099E-05	KLF6_HUMAN.H11MO.0.A	4.13099E-05	KLF6_MOUSE.H11MO.0.B	4.13099E-05	KLF12_HUMAN.H11MO.0.C	4.13099E-05	KLF3_HUMAN.H11MO.0.B	5.43276E-05	KLF3_MOUSE.H11MO.0.A	5.43276E-05	SP3_HUMAN.H11MO.0.B	9.17998E-05	SP3_MOUSE.H11MO.0.B	9.17998E-05	SP1_MOUSE.H11MO.0.A	0.00011016
metacluster_0.pattern_3	5415	BACH	FOS_HUMAN.H11MO.0.A	0.00246655	JUN_MOUSE.H11MO.0.A	0.00246655	FOSL2_MOUSE.H11MO.0.A	0.00246655	JUNB_HUMAN.H11MO.0.A	0.00246655	JUND_HUMAN.H11MO.0.A	0.00246655	JUND_MOUSE.H11MO.0.A	0.00246655	JUN_HUMAN.H11MO.0.A	0.00246655	FOSL1_HUMAN.H11MO.0.A	0.00246655	FOSL1_MOUSE.H11MO.0.A	0.00246655	FOSL2_HUMAN.H11MO.0.A	0.00246655
metacluster_0.pattern_4	2143	NFIA	NFIA_HUMAN.H11MO.0.C	8.45545E-06	NFIA_MOUSE.H11MO.0.C	8.45545E-06	NFIC+TLX1_MA0119.1	1.04189E-05	NFIA_NFI_1	1.67568E-05	NFIX_NFI_1	6.12653E-05	NFIC_HUMAN.H11MO.0.A	6.84266E-05	NFIB_NFI_1	0.000153312	AP2C_MOUSE.H11MO.0.A	0.136726	NFIX_NFI_4	0.268777	NFIB_MOUSE.H11MO.0.C	0.277338
metacluster_0.pattern_5	1939	NFYB	NFYC_HUMAN.H11MO.0.A	7.20763E-05	NFYA_HUMAN.H11MO.0.A	0.000142285	NFYA_MOUSE.H11MO.0.A	0.000142285	NFYC_MOUSE.H11MO.0.B	0.000142285	NFYB_MA0502.1	0.000142285	NFYB_HUMAN.H11MO.0.A	0.00045983	NFYB_MOUSE.H11MO.0.A	0.00045983	NFYA_MA0060.3	0.00411613	FOXI1_HUMAN.H11MO.0.B	0.00411613	FOXI1_MOUSE.H11MO.0.B	0.00411613
metacluster_0.pattern_6	1905	ELK	ELF1_HUMAN.H11MO.0.A	1.67102E-05	ELF5_ETS_1	1.67102E-05	ELF5_ETS_2	1.67102E-05	ELF5_MA0136.2	1.67102E-05	ELF2_HUMAN.H11MO.0.C	2.00522E-05	Elf5.mouse_ETS_1	3.27994E-05	ZBTB7A_MA0750.2	0.00012968	ELK1_MOUSE.H11MO.0.B	0.00012968	ELF1_MOUSE.H11MO.0.A	0.00012968	ERG_MOUSE.H11MO.0.A	0.00012968
metacluster_0.pattern_7	1233	ARNTL	USF2_MA0526.2	4.24945E-06	USF2_HUMAN.H11MO.0.A	4.24945E-06	USF2_MOUSE.H11MO.0.A	4.24945E-06	USF1_HUMAN.H11MO.0.A	6.50483E-06	USF1_MOUSE.H11MO.0.A	6.50483E-06	USF1_MA0093.2	2.48594E-05	MITF_MOUSE.H11MO.0.A	0.000120739	MITF_HUMAN.H11MO.0.A	0.000153787	TFE3_bHLH_1	0.000153787	TFEB_MA0692.1	0.000189773
metacluster_0.pattern_8	1165	BACH.1	NF2L2_MOUSE.H11MO.0.A	8.40083E-05	BACH2_MOUSE.H11MO.0.A	8.40083E-05	BACH2_HUMAN.H11MO.0.A	8.40083E-05	NFE2_HUMAN.H11MO.0.A	8.40083E-05	MAF+NFE2_MA0501.1	8.40083E-05	NFE2_MOUSE.H11MO.0.A	8.40083E-05	Nfe2l2_MA0150.2	8.47597E-05	NF2L2_HUMAN.H11MO.0.A	8.47597E-05	Bach1+Mafk_MA0591.1	0.000118869	BACH1_MOUSE.H11MO.0.C	0.000118869
metacluster_0.pattern_9	1132	GC	Myog_MA0500.1	0.116621	BHA15_HUMAN.H11MO.0.B	0.116621	BHA15_MOUSE.H11MO.0.A	0.116621	Tcf12_MA0521.1	0.198612	CTCFL_MA1102.1	0.198612	ASCL2_MOUSE.H11MO.0.C	0.198612	ASCL1_MA1100.1	0.198612	NHLH1_MA0048.2	0.204461	NHLH1_bHLH_2	0.204461	ITF2_HUMAN.H11MO.0.C	0.204461
