Motif,Timepoint,Recall,Total
IRF1,250,0.8542484210526315,178125
IRF1,100,0.8262231578947369,178125
IRF1,50,0.8213108771929825,178125
IRF1,25,0.8075396491228071,178125
IRF1,5,0.6824364912280702,178125
ATF1,250,0.8301625049544193,10092
ATF1,100,0.713238208481966,10092
ATF1,50,0.6693420531113754,10092
ATF1,25,0.7719976218787158,10092
ATF1,5,0.3036068172810147,10092
BATF,250,0.9083584141052682,42197
BATF,100,0.8664123041922411,42197
BATF,50,0.8428324288456526,42197
BATF,25,0.831978576676067,42197
BATF,5,0.7293646467758371,42197
POU5F1,250,0.7918585648492051,13462
POU5F1,100,0.7135641063734958,13462
POU5F1,50,0.6611201901649086,13462
POU5F1,25,0.6675828257316891,13462
POU5F1,5,0.12524142029416135,13462
NRF1,250,0.826590909090909,22000
NRF1,100,0.6890454545454545,22000
NRF1,50,0.5521818181818182,22000
NRF1,25,0.5234545454545455,22000
NRF1,5,0.1660909090909091,22000
PAX,250,0.7014384457313656,26765
PAX,100,0.6718101998879134,26765
PAX,50,0.5634971044274238,26765
PAX,25,0.42813375677190363,26765
PAX,5,0.2215953670838782,26765
ETS1,250,0.8440785923908037,75987
ETS1,100,0.82547014620922,75987
ETS1,50,0.7743166594285865,75987
ETS1,25,0.7792385539631779,75987
ETS1,5,0.6177504046744838,75987
COE1,250,0.8104892723351118,44045
COE1,100,0.7860824157112044,44045
COE1,50,0.6550800317856738,44045
COE1,25,0.6862981042116018,44045
COE1,5,0.37622885685094787,44045
CTCF,250,0.8890355951813789,73465
CTCF,100,0.8508541482338529,73465
CTCF,50,0.7766827741101204,73465
CTCF,25,0.7602259579391547,73465
CTCF,5,0.5110869121350303,73465
SPIB,250,0.8471586137789413,141709
SPIB,100,0.8242948577719129,141709
SPIB,50,0.8008947914387936,141709
SPIB,25,0.7966113655448842,141709
SPIB,5,0.67328821740327,141709
JDP2,250,0.9248064977147628,70671
JDP2,100,0.8752104823760807,70671
JDP2,50,0.8766113398706683,70671
JDP2,25,0.8819742185620693,70671
JDP2,5,0.9086046610349365,70671
RUNX3,250,0.8413966417700904,142456
RUNX3,100,0.8013913067894648,142456
RUNX3,50,0.7721682484416241,142456
RUNX3,25,0.7655977986185208,142456
RUNX3,5,0.4043704722861796,142456
Gabpa,250,0.8190497635667643,44410
Gabpa,100,0.8019815356901598,44410
Gabpa,50,0.7851384823238009,44410
Gabpa,25,0.7830443593785184,44410
Gabpa,5,0.6671020040531412,44410
SP1,250,0.7904488755349176,65898
SP1,100,0.6859692251661659,65898
SP1,50,0.557710400922638,65898
SP1,25,0.5126255728550183,65898
SP1,5,0.28755045676651797,65898
NFKB1,250,0.8270635788465828,183819
NFKB1,100,0.8021912859932869,183819
NFKB1,50,0.7419526817140775,183819
NFKB1,25,0.7116892160222827,183819
NFKB1,5,0.6431000059841474,183819
NFYB,250,0.7600598603259062,12028
NFYB,100,0.6706019288327236,12028
NFYB,50,0.5788160957765215,12028
NFYB,25,0.5442301296973728,12028
NFYB,5,0.5118889258397074,12028
