Motif,Timepoint,Recall,Total
IRF1,250,0.7223016719103461,153836
IRF1,100,0.7796159546530071,153836
IRF1,50,0.8098819522088457,153836
IRF1,25,0.7956200109207208,153836
IRF1,5,0.6763956421123795,153836
BATF,250,0.6430848943802312,25090
BATF,100,0.598326026305301,25090
BATF,50,0.5867277799920287,25090
BATF,25,0.5477879633320047,25090
BATF,5,0.2351933041052212,25090
NRF1,250,0.4702563509056189,34562
NRF1,100,0.43458133209883687,34562
NRF1,50,0.46580059024362014,34562
NRF1,25,0.5081592500434002,34562
NRF1,5,0.40732596493258494,34562
POU5F1,250,0.7001339328422462,20906
POU5F1,100,0.6817181670333875,20906
POU5F1,50,0.7013775949488186,20906
POU5F1,25,0.700038266526356,20906
POU5F1,5,0.01028412895819382,20906
FOSL1+JUND,250,0.3388672448560074,102158
FOSL1+JUND,100,0.3330625110123534,102158
FOSL1+JUND,50,0.3633685076058654,102158
FOSL1+JUND,25,0.4035415728577302,102158
FOSL1+JUND,5,0.3650325965661035,102158
ZNF76,250,0.8461538461538461,2080
ZNF76,100,0.8817307692307692,2080
ZNF76,50,0.8985576923076923,2080
ZNF76,25,0.8033653846153846,2080
ZNF76,5,0.4480769230769231,2080
COE1,250,0.43654687707200635,30164
COE1,100,0.45484683728948416,30164
COE1,50,0.34232860363347034,30164
COE1,25,0.5014586924811033,30164
COE1,5,0.03941784909163241,30164
HNF1A,250,0.6117573743248857,4814
HNF1A,100,0.6422933111757374,4814
HNF1A,50,0.6890319900290819,4814
HNF1A,25,0.05961778147071043,4814
HNF1A,5,0.007893643539675945,4814
SPI1,250,0.6813783221450163,101892
SPI1,100,0.6971695520747458,101892
SPI1,50,0.7331193813056962,101892
SPI1,25,0.7463883327444746,101892
SPI1,5,0.6313547677933499,101892
PAX,250,0.3317239991953329,4971
PAX,100,0.5349024341178837,4971
PAX,50,0.46107423053711527,4971
PAX,25,0.12391872862603098,4971
PAX,5,0.0,4971
RUNX,250,0.562961752860534,299944
RUNX,100,0.5707465393540128,299944
RUNX,50,0.5816385725335396,299944
RUNX,25,0.564285333262209,299944
RUNX,5,0.3702491131677913,299944
JDP,250,0.7435290978337336,82446
JDP,100,0.7329767362879945,82446
JDP,50,0.7607646216917741,82446
JDP,25,0.7509885258229629,82446
JDP,5,0.7776969167697645,82446
NFKB1,250,0.5083606456544852,113807
NFKB1,100,0.5363641955240012,113807
NFKB1,50,0.5352746316131697,113807
NFKB1,25,0.5011203177308953,113807
NFKB1,5,0.479768379800891,113807
IRF4,250,0.6244162375763381,33404
IRF4,100,0.6296850676565681,33404
IRF4,50,0.6026523769608431,33404
IRF4,25,0.616423182852353,33404
IRF4,5,0.5683151718357083,33404
ELK,250,0.44439104764520115,116528
ELK,100,0.4748043388713442,116528
ELK,50,0.5140309625154469,116528
ELK,25,0.5193601537827818,116528
ELK,5,0.5512752299876424,116528
KLF12,250,0.565000117307557,127869
KLF12,100,0.561019480874958,127869
KLF12,50,0.5688556256794063,127869
KLF12,25,0.5672758839124417,127869
KLF12,5,0.5054860834134935,127869
NFYB,250,0.6547174508339557,12051
NFYB,100,0.6771222305202887,12051
NFYB,50,0.6751306945481703,12051
NFYB,25,0.6929715376317318,12051
NFYB,5,0.6608580200813211,12051
CTCF,250,0.8723951699189891,39254
CTCF,100,0.8734141743516585,39254
CTCF,50,0.8545880674580935,39254
CTCF,25,0.8357619605645284,39254
CTCF,5,0.7091761349161869,39254
