Motif,Timepoint,Recall,Total
IRF1,250,0.7026373117927166,103742
IRF1,100,0.6799849626959187,103742
IRF1,50,0.7156889205914673,103742
IRF1,25,0.6571783848393129,103742
IRF1,5,0.49934452777081606,103742
BATF,250,0.6004070802893178,27513
BATF,100,0.5422890996983244,27513
BATF,50,0.4817359066623051,27513
BATF,25,0.4401919092792498,27513
BATF,5,0.2331261585432341,27513
NRF1,250,0.44652717969502004,19739
NRF1,100,0.4091392674400932,19739
NRF1,50,0.46618369724910075,19739
NRF1,25,0.46750088656973504,19739
NRF1,5,0.3618217741526926,19739
POU5F1,250,0.5971619837827645,21212
POU5F1,100,0.5793890250801433,21212
POU5F1,50,0.5393645106543467,21212
POU5F1,25,0.5626532151612295,21212
POU5F1,5,0.04827456156892325,21212
FOSL1+JUND,250,0.4204935957513277,35211
FOSL1+JUND,100,0.3566499105393201,35211
FOSL1+JUND,50,0.4095595126522962,35211
FOSL1+JUND,25,0.45357984720683875,35211
FOSL1+JUND,5,0.2611967850955667,35211
ZNF76,250,0.8404516445753559,2037
ZNF76,100,0.8743249877270496,2037
ZNF76,50,0.8895434462444771,2037
ZNF76,25,0.8159057437407953,2037
ZNF76,5,0.5621011291114384,2037
COE1,250,0.294456368109721,19103
COE1,100,0.2881746322567136,19103
COE1,50,0.2176097995079307,19103
COE1,25,0.3299481756792127,19103
COE1,5,0.059205360414594566,19103
HNF1A,250,0.6095856215676485,2003
HNF1A,100,0.6380429355966051,2003
HNF1A,50,0.6095856215676485,2003
HNF1A,25,0.0619071392910634,2003
HNF1A,5,0.01347978032950574,2003
SPI1,250,0.6110592986300377,331323
SPI1,100,0.6437947259924606,331323
SPI1,50,0.6031244435188623,331323
SPI1,25,0.5921623310183718,331323
SPI1,5,0.4855231903610676,331323
PAX,250,0.3390087022323118,2643
PAX,100,0.43321982595535374,2643
PAX,50,0.376844494892168,2643
PAX,25,0.14150586454786226,2643
PAX,5,0.0011350737797956867,2643
RUNX,250,0.4663123732251521,246500
RUNX,100,0.45813793103448275,246500
RUNX,50,0.4397281947261663,246500
RUNX,25,0.4379878296146045,246500
RUNX,5,0.23730628803245435,246500
JDP,250,0.6464083213811777,74603
JDP,100,0.639344262295082,74603
JDP,50,0.6096135544147018,74603
JDP,25,0.5930458560647696,74603
JDP,5,0.5824296610055896,74603
NFKB1,250,0.4330745238569248,75345
NFKB1,100,0.41286084013537727,75345
NFKB1,50,0.4020970203729511,75345
NFKB1,25,0.37318999270024555,75345
NFKB1,5,0.31221713451456634,75345
IRF4,250,0.6010986855012752,25485
IRF4,100,0.571473415734746,25485
IRF4,50,0.5661369432999804,25485
IRF4,25,0.5723759073965078,25485
IRF4,5,0.48644300568962134,25485
ELK,250,0.3564044580843159,74292
ELK,100,0.3616809346901416,74292
ELK,50,0.37745652290959997,74292
ELK,25,0.3747106014106499,74292
ELK,5,0.3017013944973887,74292
KLF12,250,0.5530482665617801,88985
KLF12,100,0.578749227397876,88985
KLF12,50,0.5662527392257122,88985
KLF12,25,0.5882227341686801,88985
KLF12,5,0.5464741248525032,88985
NFYB,250,0.35327696061015185,42219
NFYB,100,0.355171842061631,42219
NFYB,50,0.35806153627513676,42219
NFYB,25,0.3615907529785168,42219
NFYB,5,0.3546270636443308,42219
CTCF,250,0.8434819693882386,42206
CTCF,100,0.8487655783537885,42206
CTCF,50,0.8376771075202578,42206
CTCF,25,0.8273468227266265,42206
CTCF,5,0.7491825806757333,42206
