Pattern	Num_Seqlets	Label	Match_1	q-value	Match_2	q-value	Match_3	q-value	Match_4	q-value	Match_5	q-value	Match_6	q-value	Match_7	q-value	Match_8	q-value	Match_9	q-value	Match_10	q-value
metacluster_0.pattern_0	12878	FOS	FOS_HUMAN.H11MO.0.A	0.0010223	FOSL2_MOUSE.H11MO.0.A	0.0010223	FOSL1_HUMAN.H11MO.0.A	0.0010223	FOSL1_MOUSE.H11MO.0.A	0.0010223	FOSL2_HUMAN.H11MO.0.A	0.0010223	ATF3_MOUSE.H11MO.0.A	0.00428311	FOSB_HUMAN.H11MO.0.A	0.00428311	JUNB_MOUSE.H11MO.0.A	0.00428311	JUN_MOUSE.H11MO.0.A	0.00439292	JUNB_HUMAN.H11MO.0.A	0.00439292
metacluster_0.pattern_1	9160	CTCF	CTCF_MA0139.1	1.49319E-12	CTCF_HUMAN.H11MO.0.A	8.4965E-10	CTCF_MOUSE.H11MO.0.A	3.10842E-08	CTCF_C2H2_1	4.69054E-06	CTCFL_HUMAN.H11MO.0.A	1.12088E-05	CTCFL_MOUSE.H11MO.0.A	2.41348E-05	CTCFL_MA1102.1	0.000236703	ZIC2_MOUSE.H11MO.0.C	0.139479	RARA_nuclearreceptor_6	0.166742	ZIC3_HUMAN.H11MO.0.B	0.166742
metacluster_0.pattern_2	8191	DIMER-TEAD-AP1.2	TEAD3_MA0808.1	0.000236097	TEAD3_TEA_2	0.000236097	TEAD4_MOUSE.H11MO.0.A	0.00937285	TEAD4_HUMAN.H11MO.0.A	0.00937285	TEAD1_MOUSE.H11MO.0.A	0.0166091	TEAD4_MA0809.1	0.0577956	TEAD4_TEA_1	0.0577956	TEAD1_HUMAN.H11MO.0.A	0.0753013	TEAD1_MA0090.2	0.0753013	TEAD1_TEA_1	0.0753013
metacluster_0.pattern_3	6646	FOXC1	Foxc1.mouse_forkhead_2	0.00363342	FOXG1_forkhead_1	0.00601003	FOXJ3_forkhead_2	0.00601003	FOXL1_MA0033.2	0.00601003	FOXL1_forkhead_1	0.00601003	Foxj2_MA0614.1	0.0064672	Foxj3.mouse_forkhead_3	0.0064672	FOXJ2_forkhead_2	0.00679054	FOXO4_HUMAN.H11MO.0.C	0.00679054	FOXO4_MOUSE.H11MO.0.C	0.00679054
metacluster_0.pattern_4	4786	FOSB+JUNB	FOSB+JUNB_MA1135.1	0.336541	FOSL1+JUND_MA1142.1	0.336541	FOSL2+JUNB_MA1138.1	0.336541	FOSL2+JUND_MA1144.1	0.336541	Jdp2.mouse_bZIP_1	0.336541	FOS+JUN_MA0099.3	0.336541	JDP2_MA0655.1	0.336541	JDP2_bZIP_3	0.336541	JDP2_bZIP_1	0.336541	FOSL1+JUNB_MA1137.1	0.336541
metacluster_0.pattern_5	2157	SP1/KLF	KLF12_HUMAN.H11MO.0.C	9.17264E-05	SP3_HUMAN.H11MO.0.B	9.17264E-05	SP3_MOUSE.H11MO.0.B	9.17264E-05	SP1_HUMAN.H11MO.0.A	0.000237738	SP1_MA0079.3	0.000237738	SP1_MOUSE.H11MO.0.A	0.000544816	KLF3_HUMAN.H11MO.0.B	0.000544816	KLF3_MOUSE.H11MO.0.A	0.000544816	SP4_HUMAN.H11MO.0.A	0.000662558	SP4_MOUSE.H11MO.0.B	0.000662558
metacluster_0.pattern_6	1837	NFIC	NFIC_HUMAN.H11MO.0.A	6.67566E-05	NFIA_HUMAN.H11MO.0.C	0.00199645	NFIA_MOUSE.H11MO.0.C	0.00199645	NFIC+TLX1_MA0119.1	0.00224524	NFIA_NFI_1	0.00224524	NFIB_MOUSE.H11MO.0.C	0.00224524	NFIX_NFI_1	0.0048926	NFIB_NFI_1	0.0237086	NFIC_MOUSE.H11MO.0.A	0.0643071	MEIS2_MA0774.1	0.191786
metacluster_0.pattern_7	1546	CEBPB	CEBPB_MOUSE.H11MO.0.A	4.52002E-08	CEBPA_MA0102.3	1.2865E-07	CEBPB_HUMAN.H11MO.0.A	5.42675E-07	CEBPA_HUMAN.H11MO.0.A	8.03524E-06	CEBPA_MOUSE.H11MO.0.A	1.66548E-05	CEBPD_HUMAN.H11MO.0.C	9.14768E-05	CEBPD_MOUSE.H11MO.0.B	0.00111958	Cebpb.mouse_bZIP_1	0.00114754	CEBPE_MA0837.1	0.00114754	CEBPE_bZIP_1	0.00114754
metacluster_0.pattern_8	1396	DIMER-TEAD-AP1.2	POU1F1_POU_1	1.0	TBX21_TBX_6	1.0																
metacluster_0.pattern_9	1340	NFYB	NFYB_HUMAN.H11MO.0.A	0.00743815	NFYB_MOUSE.H11MO.0.A	0.00743815	NFYA_HUMAN.H11MO.0.A	0.00743815	NFYA_MOUSE.H11MO.0.A	0.00743815	NFYC_HUMAN.H11MO.0.A	0.00743815	NFYB_MA0502.1	0.0180454	NFYC_MOUSE.H11MO.0.B	0.0195502	Dux_MA0611.1	0.050399	NFYA_MA0060.3	0.050399	FOXI1_HUMAN.H11MO.0.B	0.050399
metacluster_0.pattern_10	1265	DIMER-TEAD-AP1.3	ATF2_HUMAN.H11MO.0.B	4.70393E-06	ATF2_MOUSE.H11MO.0.A	4.70393E-06	JUN_MA0488.1	5.44436E-05	JUND_MA0492.1	0.000175753	FOSB+JUN_MA1127.1	0.000481396	FOSL2+JUN_MA1131.1	0.000505892	FOS+JUN_MA1126.1	0.000505892	FOSL1+JUN_MA1129.1	0.00114393	FOSB+JUNB_MA1136.1	0.00114393	JUNB_MA1140.1	0.00114393
