dilation layer,input length,receptive field (input length constant),chrombpnet model performance peaks (pearsonr counts),chrombpnet model performance peaks (spearmanr counts),chrombpnet model performance peaks (mse counts),chrombpnet model performance peaks (jsd profile),MNLL
1,2114,~30,0.64 (0.01),0.61 (0.02),0.55 (0.03),0.564 (0.003),
2,2114,~40,0.64 (0.02),0.62 (0.02),0.55 (0.03),0.561 (0.003),
3,2114,~50,0.64 (0.02),0.62 (0.02),0.55 (0.02),0.555 (0.003),
4,2114,~80,0.65 (0.01),0.63 (0.02),0.54 (0.02),0.547 (0.003),
5,2114,~150,0.66 (0.02),0.64 (0.02),0.53 (0.03),0.538 (0.002),
6,2114,~300,0.67 (0.02),0.65 (0.02),0.52 (0.03),0.526 (0.002),
7,2114,~500,0.69 (0.02),0.67 (0.02),0.48 (0.03),0.522 (0.002),
8,2114,~1000 ,0.69 (0.02),0.66 (0.02),0.49 (0.03),0.519 (0.002),
9,2114,~2000,0.70 (0.01),0.67 (0.02),0.48 (0.02),0.519 (0.003),
10,2114,~4000,0.70 (0.02),0.67 (0.02),0.48 (0.03),0.517 (0.002),
11,2114,~8000,0.71 (0.02),0.68 (0.02),0.47 (0.02),0.515 (0.002),
12,2114,~16000,0.71 (0.02),0.68 (0.02),0.47 (0.03),0.516 (0.002),
13,2114,~32000,0.71 (0.02),0.67 (0.02),0.46 (0.03),0.516 (0.001),
